,topic,original,variant_id,variant,model
0,Map Search,restaurants near Central Park,1,resturants neer Centrail Park,llama3
1,Map Search,restaurants near Central Park,2,resaturants near Centreal Parke,llama3
2,Map Search,restaurants near Central Park,3,restrant's near Centrul PArk,llama3
3,Map Search,shortest route to Times Square from JFK Airport,1,shortest rute to Times Squre from JKF Airport,llama3
4,Map Search,shortest route to Times Square from JFK Airport,2,shoret routhe to Time Square from JFK Airport,llama3
5,Map Search,shortest route to Times Square from JFK Airport,3,shortest routee to TImes Squere from JFK Aiprort,llama3
6,Map Search,petrol stations open now in downtown Los Angeles,1,petrol statins open now in downtown Loas Angelus,llama3
7,Map Search,petrol stations open now in downtown Los Angeles,2,petrol stations opn now in downtown Los Anegles,llama3
8,Map Search,petrol stations open now in downtown Los Angeles,3,petrol stationz open nnow in downtown Los Angeles,llama3
9,Map Search,walking directions to Eiffel Tower from Louvre Museum,1,walking direcions to Eiffel Tovor from Louvre Museeum,llama3
10,Map Search,walking directions to Eiffel Tower from Louvre Museum,2,walkin directions to Effil Tower from Lowre Museum,llama3
11,Map Search,walking directions to Eiffel Tower from Louvre Museum,3,direkctions to Eiffel Towr from Lourve Musium,llama3
12,Map Search,nearest hiking trails in Yosemite National Park,1,nearest hikeing trails in Yosimite National Park,llama3
13,Map Search,nearest hiking trails in Yosemite National Park,2,neareset hiking traisls in Yosemite Nationl Park,llama3
14,Map Search,nearest hiking trails in Yosemite National Park,3,ninst nearest hikin trails in Yo Semite National Parke,llama3
15,Job Search,software engineer jobs in San Francisco,1,softwear enginier jobs in San Francsico,llama3
16,Job Search,software engineer jobs in San Francisco,2,sorfware ingeniur jobs in Sann Francisco,llama3
17,Job Search,software engineer jobs in San Francisco,3,sofware engineir jbos in San Fransisko,llama3
18,Job Search,remote work opportunities in marketing,1,remot werke opportunites in marketing,llama3
19,Job Search,remote work opportunities in marketing,2,remeote work oppertunities inn marketting,llama3
20,Job Search,remote work opportunities in marketing,3,reomte wrok oportunies n marketin,llama3
21,Job Search,freelance graphic design projects for beginners,1,freelance grafic design projects for beginniners,llama3
22,Job Search,freelance graphic design projects for beginners,2,frilance graphic desighn projects for begginers,llama3
23,Job Search,freelance graphic design projects for beginners,3,frelance graphik deisgn projecs for beinners,llama3
24,Job Search,data scientist positions at Google,1,datascientist posishuns at Gooogle,llama3
25,Job Search,data scientist positions at Google,2,da ta scientifc positins at Googlee,llama3
26,Job Search,data scientist positions at Google,3,deta scientist poisitions at Ghoogle,llama3
27,Job Search,entry-level mechanical engineering jobs in Austin,1,entry-lvel mechancal enginering jobs in Ausitn,llama3
28,Job Search,entry-level mechanical engineering jobs in Austin,2,entry level mechanical engrining jobs in Austyn,llama3
29,Job Search,entry-level mechanical engineering jobs in Austin,3,entery-lebel mechanicle engineerin' jobz in Awstun,llama3
30,Flight Search,cheap flights from New York to London,1,cheep flights from New York to Londin,llama3
31,Flight Search,cheap flights from New York to London,2,cheap fligths from New Yorke to London,llama3
32,Flight Search,cheap flights from New York to London,3,cheapest flightz from New Yourk to Lodon,llama3
33,Flight Search,nonstop flights to Tokyo from Los Angeles,1,nonstop flights to Tokoy from Los Angeles,llama3
34,Flight Search,nonstop flights to Tokyo from Los Angeles,2,nonstop fligths to Tokyo from Loas Angles,llama3
35,Flight Search,nonstop flights to Tokyo from Los Angeles,3,non stop flghts to Tooky from Los Anegles,llama3
36,Flight Search,business class deals to Paris in December,1,busines class deals to Paree in December,llama3
37,Flight Search,business class deals to Paris in December,2,business classe deales to Paris in Decembeer,llama3
38,Flight Search,business class deals to Paris in December,3,buzness claass deals to Pars in Dekember,llama3
39,Flight Search,flights under $500 to Hawaii in January,1,flights undir $500 to Hawii in January,llama3
40,Flight Search,flights under $500 to Hawaii in January,2,flights unter $4500 to Hawaii ine Jannuary,llama3
41,Flight Search,flights under $500 to Hawaii in January,3,flieghts onder $550 to Havaii in Januery,llama3
42,Flight Search,flight schedules for Delta Airlines to Chicago,1,flight shedules for Delta AirLines to Chigago,llama3
43,Flight Search,flight schedules for Delta Airlines to Chicago,2,flite schedules for Delata Airlines too Chicago,llama3
